1604	5887	2000-08-07	2008	2009		1,4,3,3,1
1604	6293	2000-08-07	1019	4000	1006	4,5,5,5,5
1604	576	2000-06-16	1011	4001	1003	4,5,5,4,3
1604	6716	2000-06-15	1003	4001	1008	2,2,4,4,2
1604	6715	2000-06-12	1019	4001	1008	5,5,4,4,3
1604	236	2000-06-06	1003	4000	1008	4,3,3,4,3
1604	6061	2000-06-05	3007	2009	1005	3,4,4,4,3
1604	6410	2000-06-01	1019	4000	1006	2,3,3,3,2
1604	2413	2000-06-01	1003	2009	1019	5,5,5,4,3
1604	3857	2000-05-30	1003	4000	1008	1,4,4,3,2
1604	5915	2000-05-28	1022	4000	1006	2,5,4,3,3
1604	6337	2000-05-04	1019	1004	1006	2,4,5,3,2
1604	374	2000-04-26	2002	2002	2004	3,3,3,3,3
1604	576	2000-04-26	1011	4001	1003	4,4,5,4,3
1604	1651	2000-04-11	2002	4000	1006	3,2,2,4,4
1604	6164	2000-04-04	1001	4001	1008	3,3,3,3,4
1604	3606	2000-03-24	1014	4000	1006	5,5,5,5,3
1604	3411	2000-03-21	2009	4000	1008	3,5,5,4,3
1604	3411	2000-03-20	2009	4000	1008	3,5,5,5,3
1604	6120	2000-03-18	1001	3006	1006	2,3,1,4,2
1604	236	2000-03-13	1003	4000	1008	2,3,2,4,2
1604	851	2000-03-11	2008	1004		4,4,5,4,3
1604	5301	2000-03-03	2008	2009	1005	5,3,5,4,3
1604	3159	2000-02-15	1001	1002	1010	4,3,3,4,5
1604	3783	2000-01-21	2008	4001	1006	5,5,4,5,2
1604	5669	2000-01-20	2008	2002		3,3,3,2,3
1604	202	2000-01-20	1019	4000	1008	4,5,3,4,4
1604	1549	2000-01-20	1022	1004	1009	4,3,3,3,4
1604	5683	2000-01-18	1019	1004	1015	3,2,2,2,2
1604	5189	2000-01-18	1019	1008	1021	4,3,3,4,4
1604	784	2000-01-18	1001	4000	1008	3,4,4,4,3
1604	3008	2000-01-18	1008	4000	1003	5,4,4,3,4
1604	2779	2000-01-12	1001	1002	1001	4,4,4,4,5
1604	5807	2000-01-12	2010	1004	1009	4,2,3,2,4
1604	5521	2000-01-12	2008	1004	1009	4,3,4,4,3
1604	4180	2000-01-12	1008	1002	1014	2,2,3,2,1
1604	2504	2000-01-12	1008	4000	1006	1,2,1,2,2
1604	2858	2000-01-12	2008	1004	1006	4,4,2,4,3
1604	1993	2000-01-12	2008	1004	1009	3,2,3,2,2
