CommentID,userID,shopID,shopDistrID,tasteScore,enviScore,serviceScore,hygieneScore,moneyScore
30788,17953,10242,3020,3,2,1,1,3
1857273,17953,12336,2030,2,3,1,3,2
164889,17953,18610,2003,1,3,1,3,2
1903824,17953,10918,2019,1,2,2,2,1
1905375,18020,6637,1003,5,5,5,5,5
2181926,18020,1441,2001,4,4,5,5,4
1910698,18020,23037,2010,4,5,4,5,4
28630,18020,10421,3015,4,5,5,5,3
1908081,18020,9825,1019,4,4,4,4,5
1965432,18020,16016,3018,4,3,3,4,5
1988554,18020,474,3010,2,3,2,3,1
1901781,18020,7849,1003,1,1,4,3,4
2061088,18020,36686,2008,1,4,2,4,1
2072759,18020,7572,2029,1,3,3,3,1
2181934,18020,14335,2001,1,1,1,2,1
1902248,18020,14874,2010,1,1,1,2,1
120767,18023,1852,2008,4,5,5,5,3
122300,18023,10480,2008,4,5,4,5,3
83687,18023,12542,2008,4,3,4,5,4
74084,18023,11321,2008,4,3,3,4,4
55030,18023,2511,2008,4,4,3,4,3
2187872,18023,47071,1022,3,4,4,4,4
2183092,18023,7434,2002,3,3,4,4,4
74576,18023,6925,3009,3,3,3,3,4
158729,18023,17608,2029,3,3,3,3,3
117908,18023,13865,2026,3,4,1,4,3
113554,18023,15713,2010,3,4,3,3,2
132737,18023,16720,2026,3,3,3,3,2
2212384,18023,51080,2008,2,4,3,4,2
53497,18023,1615,2015,2,3,3,3,2
1870690,18023,6952,3003,2,3,3,2,2
53536,18023,1981,3007,2,2,1,3,3
44390,18126,11545,2001,5,4,4,4,4
1924926,18126,15114,1019,5,4,3,4,4
100422,18126,10262,2015,5,4,3,5,3
2096525,18126,15677,2001,5,3,3,3,4
2052680,18126,26739,2003,4,4,5,3,5
2045356,18126,18837,2006,5,3,4,3,3
2043486,18126,37882,2010,5,4,3,3,3
2012791,18126,25887,1011,5,3,4,3,3
104365,18126,12863,2010,5,3,3,4,3
89987,18126,10928,2019,5,2,3,3,5
2062711,18126,25631,1019,4,4,4,4,4
2020029,18126,9972,1019,4,5,4,5,2
2009045,18126,26860,3005,4,5,4,3,4
2007684,18126,31145,1003,5,2,4,3,3
1984542,18126,17908,2003,4,4,4,4,4
1979776,18126,30869,2010,4,4,5,4,3
46569,18126,7434,2002,4,4,5,3,4
29076,18126,2991,3007,4,4,3,5,4
2074553,18126,16040,2026,5,3,2,2,4
2068774,18126,25935,2010,4,3,4,4,4
2032331,18126,17546,2010,4,3,5,4,3
1964055,18126,7595,2024,4,4,4,3,4
1916481,18126,23341,1019,4,4,4,3,4
