shopID,price,districtID,dishID,numLike,numOK,numDislike,tasteAvg,environmentAvg,serviceAvg,shopInfo,moneyAvg,scoreWhole
23503,10to$15,1019, 1019 1033,13,9,4,3.69,3.77,3.81,3.62,3.08,3.64
26985,41to100,1019, 1003,1,1,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
5182,15to$30,1019,,373,67,27,4.2,4.11,3.98,4.15,2.99,3.97
7907,Below40,2010,,115,35,9,3.87,2.8,3.29,3.06,3.7,3.51
904,41to100,2020, 1020,4,2,1,3.86,3.29,2.86,3.14,3.57,3.51
6035,Below40,2001, 1014,85,22,11,3.95,2.94,2.89,2.97,3.55,3.48
3970,30to$50,1003, 1032 1034,122,32,16,3.97,3.53,3.62,3.86,3.29,3.74
12382,41to100,2001,,3,6,2,3.18,3.55,3.73,3.73,2.91,3.2
13578,41to100,2026, 1037,145,91,59,3.25,3.0,2.83,3.45,3.59,3.2
11063,Below40,1019, 1014,50,15,12,3.59,3.22,3.76,3.71,2.9,3.46
5966,15to$30,2008, 1022,153,59,86,3.22,3.77,3.23,3.55,2.99,3.27
10272,41to100,1022,,41,19,2,3.81,2.97,3.19,3.15,3.47,3.48
11571,15to$30,1004, 1034,40,4,7,4.05,3.6,3.73,4.08,3.61,3.85
574,15to$30,2002,,178,55,22,3.66,3.89,3.68,3.9,3.05,3.61
5182,15to$30,1019,,373,67,27,4.2,4.11,3.98,4.15,2.99,3.97
8095,Below40,2010, 1010 1020,1,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
9988,41to100,1003, 1005,102,30,34,3.7,3.23,2.97,3.53,2.87,3.39
27249,15to$30,2008, 1009,16,4,5,3.88,2.96,3.32,3.4,3.92,3.6
3599,30to$50,2008, 1032,68,27,18,3.57,3.82,3.88,4.12,3.15,3.62
9980,41to100,1003,,35,20,16,3.34,3.16,3.0,3.14,2.75,3.13
10157,Below40,1022, 1014,59,17,17,3.42,3.2,3.32,3.49,2.95,3.31
7579,Below40,2010, 1014,189,87,78,3.29,2.88,3.12,3.1,3.03,3.13
1814,41to100,1003, 1010,187,158,110,3.33,2.63,2.92,2.83,2.66,3.01
15648,41to100,1010, 1003,94,6,2,4.47,3.3,3.91,3.79,3.48,4.01
16064,Below40,1003, 1004,95,49,7,3.49,2.99,3.36,3.2,3.66,3.37
13292,41to100,2010,,27,10,3,3.67,3.67,3.47,3.53,3.25,3.53
13649,10to$15,1019, 1034,81,27,15,3.75,3.51,3.43,3.6,3.38,3.58
8506,10to$15,2008,,40,15,18,3.24,3.33,3.11,3.28,3.14,3.21
1632,Below40,3003, 1014,95,99,116,2.89,2.33,2.3,2.38,2.76,2.63
7829,Below40,3018, 1001,12,12,16,2.81,2.7,2.69,2.85,3.09,2.77
9780,10to$15,2011, 1010 1032 1034,49,34,197,2.05,2.41,1.99,2.35,2.11,2.1
3608,41to100,1010, 1033,6,0,0,4.17,4.67,4.0,3.5,3.83,4.07
10739,Below40,1011, 1003,26,11,4,3.58,3.41,3.19,3.65,3.13,3.44
10318,10to$15,1019, 1041,149,34,29,3.71,3.87,3.35,3.8,3.41,3.64
9765,15to$30,3007, 1019 1022,59,12,25,3.4,3.88,3.11,3.8,3.15,3.4
5522,Below40,1003, 1003,241,91,31,3.79,3.14,3.17,3.31,3.32,3.49
650,Below40,1021, 1022,7,6,4,3.47,3.18,3.53,3.53,3.65,3.45
11020,41to100,1001, 1036,14,6,3,3.13,3.3,3.09,3.17,3.26,3.2
11175,41to100,1011, 1035,222,63,22,3.97,3.31,3.63,3.65,2.88,3.63
2842,10to$15,1019,,11,7,6,3.17,3.58,3.33,3.67,2.63,3.2
267,Below40,1008, 1003,23,2,5,3.8,3.29,3.17,3.44,4.05,3.61
5041,15to$30,1019,,10,3,2,3.33,3.53,3.13,3.73,3.2,3.33
5233,Below40,1003,,20,12,4,3.21,3.08,3.14,3.06,3.24,3.15
4010,Below40,1008, 1010 1039,37,7,5,3.81,2.92,3.12,3.12,3.71,3.48
9645,10to$15,1019,,19,9,7,3.43,3.39,3.17,3.49,3.13,3.3
8727,41to100,1019, 1022,19,9,3,3.48,3.81,3.61,3.55,3.39,3.47
15652,Below40,1003, 1010,2,2,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
4123,41to100,1008,,2,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
10513,41to100,1003,,36,24,7,3.16,3.8,3.03,3.34,3.04,3.2
3806,41to100,1003, 1009 1016 1036,39,17,6,3.5,3.32,3.31,3.34,3.73,3.43
14803,41to100,1019, 1041,88,58,49,3.23,3.61,3.07,3.58,2.98,3.23
13172,41to100,1023,,2,3,4,2.33,3.33,2.67,3.0,2.44,2.57
10053,15to$30,1019,,22,6,22,3.14,3.62,3.08,3.56,2.48,3.12
22502,,3008, 1018,1,1,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2938,30to$50,2008, 1032,169,14,20,4.17,4.39,4.24,4.45,3.49,4.12
